user_number,book_number
36322,0
36322,8
80911,1
80911,1344
80911,455
80911,207
80911,9
80911,241
80911,23
80911,56
44651,2
55994,3
55994,330
55994,1145
55994,994
55994,66
55994,123
55994,2
55994,1678
55994,512
55994,582
55994,883
55994,207
55994,107
3813,4
3813,61
3813,473
3813,1107
3813,2
25025,5
25025,227
25025,282
25025,323
37502,6
37502,376
37502,1863
37502,66
37502,58
37502,36
37502,258
37502,411
37502,168
37502,274
96915,749
45049,8
45049,10
28001,9
28001,73
104559,10
104559,73
40410,8
40410,58
40410,2962
40410,903
40410,1992
40410,489
40410,705
86815,11
86815,299
86815,2258
86815,570
86815,1849
86815,175
86815,1076
86815,2241
86815,1061
86815,464
86815,4623
86815,3233
86815,2205
86815,94
86815,3240
86815,4831
86815,3425
86815,1198
86815,290
86815,2303
86815,4961
86815,1769
86815,1573
86815,1062
86815,1096
86815,1118
86815,1206
30739,2
30739,348
30739,73
30739,243
30739,1175
89524,13
29984,14
29984,360
29984,2330
100579,129
100579,547
43052,16
79039,8
13491,17
13491,1844
13491,1313
13491,1
13491,279
13491,3335
13491,8
13491,2779
13491,1086
13491,108
13491,383
13491,57
13491,2988
13491,705
13491,1906
13491,168
13491,759
13491,14
13491,1776
105538,5412
105538,12
105538,73
30019,19
30019,1595
30019,1271
30019,763
30019,224
30019,2795
30019,3846
30019,486
30019,208
30019,554
30019,473
103468,20
103468,1993
103468,677
103468,344
32339,21
32339,901
57021,22
29525,717
29525,1251
29525,581
29525,957
31563,24
31563,1915
31563,2796
31563,3486
31563,17
31563,2447
31563,5035
31563,517
31563,242
31563,570
31563,25
31563,1894
31563,1034
31563,20
31563,2669
31563,1503
31563,3460
31563,5884
31563,2840
31563,1756
31563,673
64077,25
64077,418
64077,213
64077,544
64077,603
64077,396
20160,3498
20160,4292
20160,2921
20160,833
20160,2564
70280,27
70280,121
70280,497
70280,438
70280,165
70280,2143
70280,913
70280,841
70280,702
70280,1639
51237,28
4843,29
4843,8
56564,8
15499,1817
71291,31
71291,618
21998,8
20379,33
46138,34
46138,166
46138,4029
46138,63
46138,61
18425,35
70224,488
70224,169
70224,61
70224,331
36160,790
36160,224
36160,427
36160,2621
36160,1445
36160,138
36160,66
36160,5804
36160,1288
36160,564
36160,1226
36160,620
64719,38
64719,101
64719,490
64719,2748
64719,246
64719,3537
64719,166
64719,1549
64719,1304
64719,173
64719,394
64719,17
64719,743
64719,179
64719,169
64719,1189
64719,543
64719,809
64719,14
64719,1397
64719,1179
64719,0
64719,382
64719,3099
47351,39
47351,121
47351,745
47351,28
47351,333
47351,3264
47351,1142
47351,766
47351,1210
47351,820
47351,555
47351,162
47351,449
47351,104
47351,2009
47351,239
47351,199
47351,63
47351,1853
47351,1723
47351,5287
47351,262
47351,1606
47351,2041
47351,744
47351,3681
47351,1016
47351,2027
47351,743
47351,129
47351,70
47351,254
47351,1086
47351,677
47351,2625
47351,1297
47351,156
47351,20
47351,398
47351,1474
47351,1070
47351,35
47351,317
47351,1252
47351,684
47351,1205
47351,2033
47351,627
47351,1298
47351,2870
47351,424
47351,122
47351,2137
47351,1254
47351,1571
47351,3647
47351,871
47351,125
47351,1756
47351,160
47351,1148
47351,570
47351,902
73301,40
73301,1257
73301,570
73301,575
73301,1842
73301,1951
73301,1407
73301,645
73301,350
73301,2198
73301,2070
73301,1327
73301,2602
73301,721
73301,289
73301,1208
73301,529
73301,621
73301,569
73301,3103
73301,373
73301,2539
73301,2618
73301,2365
73301,1474
73301,649
73301,1288
73301,1375
73301,206
73301,374
73301,384
73301,2897
73301,351
73301,3409
73301,625
73301,2171
73301,4248
73301,665
73301,418
73301,1871
73301,1481
73301,1160
73301,280
73301,1356
73301,2982
73301,377
73301,604
73301,174
73301,3597
73301,399
73301,1086
73301,503
73301,69
73301,1817
73301,1756
73301,58
73301,3232
73301,939
73301,598
73301,609
73301,589
73301,2283
73301,1073
73301,528
73301,1556
73301,3462
73301,197
73301,169
73301,1650
73301,3358
73301,605
73301,1941
73301,2009
73301,5163
73301,1537
73301,140
73301,122
73301,1255
73301,44
73301,2565
73301,1778
73301,950
73301,552
73301,1909
73301,3186
73301,877
73301,650
73301,186
73301,788
73301,2780
73301,3715
73301,2611
73301,1126
73301,2544
73301,1437
73301,3903
73301,2339
73301,777
73301,339
73301,5329
73301,2142
73301,1455
73301,951
73301,2864
73301,137
73301,4461
73301,1438
73301,5714
73301,3167
73301,3590
73301,977
73301,1696
73301,8
73301,1121
73301,2886
73301,1080
73301,2181
73301,660
73301,359
73301,576
73301,317
73301,70
73301,1304
73301,927
73301,3569
73301,1769
73301,246
73301,5017
73301,121
73301,199
73301,1303
73301,1098
73301,5896
73301,4857
73301,4826
73301,4478
73301,2906
73301,247
73301,1076
73301,1204
73301,712
73301,331
73301,729
73301,400
73301,369
73301,1872
73301,86
73301,183
73301,1925
73301,1966
73301,1522
73301,1655
73301,819
73301,1005
73301,1905
73301,489
73301,4577
73301,82
73301,3464
73301,168
73301,798
73301,105
73301,279
73301,2765
73301,636
73301,3785
73301,804
73301,591
73301,343
73301,1332
73301,116
73301,2277
73301,5048
73301,218
73301,256
73301,5151
73301,2411
73301,1583
73301,1627
73301,499
73301,6117
73301,1996
73301,1202
73301,3378
73301,3960
73301,175
73301,647
73301,177
73301,14
73301,1193
73301,1557
73301,750
73301,1736
73301,1755
73301,55
73301,224
73301,1006
73301,981
73301,81
73301,1389
73301,791
73301,311
73301,4098
73301,125
73301,710
73301,584
73301,187
73301,602
73301,875
73301,2103
73301,871
73301,847
73301,1156
73301,3155
73301,243
73301,613
73301,883
73301,2787
73301,1504
73301,2249
73301,2477
73301,2739
73301,1637
73301,2475
73301,1835
73301,1328
73301,12
73301,126
73301,267
73301,2379
73301,2914
73301,1465
73301,52
73301,436
73301,1584
73301,3735
73301,2946
73301,327
73301,1119
73301,1267
73301,3511
73301,497
73301,3459
73301,3924
73301,1175
73301,249
73301,3725
73301,234
73301,1248
73301,3423
73301,3532
73301,1883
73301,142
73301,4455
73301,2291
73301,75
73301,935
73301,865
73301,506
73301,1448
73301,1434
73301,886
73301,881
73301,2111
73301,438
73301,891
73301,982
73301,99
73301,6089
73301,1170
73301,2917
73301,2192
73301,698
73301,731
73301,5597
73301,93
73301,379
73301,2317
73301,1183
73301,2419
76301,798
76301,59
76301,323
76301,101
76301,57
76301,14
76301,325
76301,122
76301,282
76301,61
79298,1321
79298,106
79298,2246
79298,91
79298,864
79298,1951
79298,349
79298,1516
79298,935
79298,46
79298,1878
35303,2215
33602,57
10867,45
10867,325
10867,142
10867,2070
10867,279
10867,2
10867,222
10867,157
10867,362
10867,645
10867,99
10867,8
10867,621
10867,1792
100014,61
100014,2837
100014,1521
100014,226
100014,166
100014,1065
100014,76
100014,555
100014,2160
100014,237
100014,35
100014,3598
100014,20
100014,763
100014,279
100014,10
100014,304
100014,593
100014,17
100014,3
100014,125
100014,488
100014,331
100014,73
68567,46
15828,47
86826,2
18481,49
18481,552
18481,584
18481,331
18481,467
18481,2196
18481,1551
18481,582
18481,2398
18481,3921
18481,4570
18481,2038
18481,585
18481,724
18481,556
18481,330
18481,1871
18481,4136
18481,165
18481,48
18481,2823
18481,427
18481,1283
18481,3866
18481,434
18481,5645
18481,138
18481,5496
18481,917
18481,887
18481,4142
18481,1666
18481,157
18481,106
18481,2761
18481,4586
18481,3104
18481,2066
18481,4108
18481,3551
18481,4793
18481,3082
18481,99
18481,5321
18481,4580
18481,751
18481,26
18481,195
18481,1758
18481,9
18481,1557
18481,776
18481,4556
18481,673
18481,2600
18481,1175
18481,522
18481,2689
18481,4724
18481,4052
18481,2330
22201,23
82136,2
102646,50
4550,51
4550,58
27851,52
27851,330
27851,259
27851,643
27851,883
27851,866
27851,603
27851,393
27851,1174
27851,896
7742,53
37269,4132
2464,55
2464,2676
2464,57
2464,61
2464,0
2464,595
2464,124
2464,840
2464,279
2464,101
2464,121
2464,182
2464,42
2464,1483
2464,173
2464,73
2464,14
94097,7
94097,778
94097,618
94097,1
94097,57
94097,3187
94097,157
94097,60
94097,3080
94097,438
94097,175
94097,5526
94097,1573
94097,325
94097,35
94097,136
94097,1645
31840,56
31840,475
31840,65
31840,320
31840,223
31840,73
31840,1537
31840,1896
31840,697
31840,179
31840,447
31840,2302
31840,872
31840,4506
31840,2696
31840,824
31840,1308
31840,508
31840,3332
31840,2034
31840,30
31840,183
31840,1236
31840,2330
31840,1157
31840,562
31840,543
31840,2882
31840,71
31840,21
31840,304
31840,2858
31840,3490
31840,169
31840,4368
31840,4164
31840,77
31840,1441
31840,515
31840,3823
29331,17
29331,2
29331,405
29331,153
29331,1220
62630,8
69528,174
16372,58
88224,10
88224,977
88224,7
88224,225
88224,35
88224,1046
88224,5090
88224,763
88224,387
88224,898
88224,17
88224,187
88224,101
88224,420
88224,3
88224,1566
88224,1232
88224,310
88224,351
88224,235
107907,59
107907,73
107907,2213
107907,77
107907,323
107907,96
107907,101
107907,55
107907,472
107907,405
107907,2666
107907,14
107907,979
107907,208
107907,595
107907,2825
107907,134
74623,60
74623,310
64617,36
46752,2
57511,61
57511,73
38756,60
38756,61
38756,23
38756,222
38756,36
11929,62
11929,226
73272,63
73272,10
73272,125
73272,845
73272,9
73272,2120
73272,265
73272,436
73272,2028
73272,36
73272,61
73272,73
73272,1662
73272,354
73272,2179
73272,76
73272,3
5656,64
5656,173
5656,162
428,65
428,777
72473,1222
72473,23
78402,0
78402,57
78402,645
54220,35
54220,1116
67180,67
67180,1683
67180,756
67180,2294
67180,1337
67180,792
67180,2003
67180,569
67180,1380
67180,324
67180,4030
67180,603
67180,891
67180,2043
67180,4389
67180,1086
67180,2338
67180,254
67180,1016
67180,19
67180,238
67180,1148
67180,84
67180,2153
67180,1715
67180,877
67180,1907
67180,766
67180,3199
67180,1346
67180,3352
67180,381
67180,845
67180,342
1548,68
1548,570
1548,909
1548,983
1548,383
1548,2918
1548,1078
1548,8
1548,798
1548,282
1548,5869
1548,420
1548,247
1548,1416
1548,852
1548,3854
1548,1472
1548,735
1548,950
1548,564
1548,435
1548,499
1548,5259
1548,61
1548,49
1548,222
1548,242
1548,2070
1548,414
64817,69
64817,299
64817,660
64817,1483
64817,857
64817,2212
64817,57
64817,10
64817,376
64817,61
64817,351
64817,4550
64817,1734
98411,8
69577,71
22656,72
22656,17
22656,1747
22656,1
22656,3321
22656,3380
22656,3411
22656,7
22656,2313
22656,1333
22656,2088
22656,3507
22656,368
22656,51
22656,1864
22656,189
22656,4335
22656,816
22656,240
22656,3739
22656,358
22656,3691
22656,520
22656,3153
22656,60
22656,4908
22656,859
22656,2027
22656,1498
22656,893
22656,457
22656,744
22656,279
22656,39
22656,5626
22656,1652
22656,877
22656,5511
22656,742
22656,1398
22656,3009
22656,1705
22656,4083
22656,1387
22656,1016
22656,2321
22656,1837
22656,2743
22656,2527
22656,6004
22656,1437
22656,3264
22656,2026
22656,2892
22656,1259
22656,3769
22656,810
22656,3053
22656,4113
22656,121
22656,3892
22656,636
22656,2115
22656,61
22656,5010
22656,5856
44761,2
15102,73
81249,73
81249,101
76948,17
1879,74
1879,316
54109,75
54109,1357
54109,1574
54109,1690
54109,1722
54109,875
54109,3216
54109,643
54109,4112
54109,3523
54109,2102
54109,4133
54109,646
54109,5118
54109,1500
54109,684
54109,1749
54109,1244
54109,2522
54109,4906
54109,4634
54109,256
54109,4127
54109,2132
54109,339
54109,2809
54109,789
54109,5658
54109,2694
54109,4467
54109,1757
54109,2277
54109,3908
54109,3841
54109,5771
54109,287
54109,30
54109,4111
54109,3232
54109,2348
54109,243
54109,5119
54109,2776
54109,1709
37011,3
37011,222
37011,1872
37011,2
37011,47
37011,221
37011,1775
37011,39
37011,8
37011,174
37011,44
37011,1875
37011,3569
37011,360
37011,562
37011,347
37011,872
37011,161
37011,17
37011,92
37011,182
37011,212
67065,77
67065,33
67065,977
67065,10
67065,8
67065,2
67065,187
57961,9
57961,2855
57961,871
57961,97
57961,2
57961,3476
57961,1167
57961,73
57961,1913
57961,1
31809,73
31809,1
25682,20
25682,1743
25682,1078
25682,1313
25682,2
25682,19
15460,78
15460,262
15460,1187
15460,1571
15460,2315
15460,816
15460,2385
15460,2431
15460,2718
15460,458
15460,7
15460,3034
15460,3599
15460,2202
15460,1680
15460,160
15460,5
15460,254
15460,3987
15460,1437
15460,760
15460,1519
15460,3868
15460,1693
15460,3509
15460,183
15460,2757
15460,3257
15460,798
15460,3579
15460,1617
15460,2739
15460,2043
15460,3031
15460,1494
15460,3244
15460,1485
15460,3630
15460,5178
15460,1006
15460,117
15460,1524
15460,3022
15460,55
15460,1835
15460,1016
15460,5462
15460,502
15460,1969
15460,3602
15460,4067
15460,360
15460,3
15460,745
15460,419
15460,49
15460,2904
15460,2268
15460,1817
15460,956
15460,517
15460,1471
15460,2332
15460,2796
15460,2444
15460,5940
15460,4696
15460,1113
15460,386
15460,3639
15460,97
15460,1361
15460,1687
15460,890
15460,1070
15460,3959
15460,3064
15460,256
15460,4657
15460,3229
15460,744
15460,528
15460,157
15460,522
15460,72
15460,239
15460,217
15460,495
15460,533
15460,1503
15460,523
15460,4937
15460,2595
15460,4536
15460,3014
15460,738
15460,2887
15460,1297
15460,1723
15460,673
15460,4904
15460,1564
15460,3525
15460,1048
15460,875
15460,5129
15460,1652
15460,603
15460,780
15460,1766
15460,324
15460,121
15460,1354
15460,110
15460,2767
15460,4497
15460,202
15460,6060
15460,4572
15460,560
15460,2576
15460,719
15460,98
15460,727
15460,1064
15460,6116
15460,1034
15460,51
15460,596
7326,79
7326,17
79427,80
75971,81
75971,609
75971,1066
75971,1585
75971,1698
75971,1221
75971,1678
75971,2426
75971,1635
75971,3293
75971,3441
75971,295
75971,1413
75971,951
75971,1750
75971,2064
75971,1516
75971,46
75971,2279
75971,178
75971,533
75971,800
75971,588
75971,1455
75971,1815
75971,257
75971,877
75971,1628
75971,17
75971,1485
75971,1571
75971,76
75971,386
75971,424
75971,108
75971,1862
75971,1174
75971,621
75971,73
75971,536
75971,1941
75971,1878
75971,705
75971,12
75971,1046
75971,2335
75971,3
75971,28
75971,358
75971,468
75971,525
75971,676
75971,1527
75971,1522
75971,3285
75971,1180
75971,876
75971,1297
75971,338
75971,318
75971,390
75971,2739
75971,545
75971,1417
75971,1038
75971,4175
75971,1817
75971,994
75971,1270
75971,19
75971,372
75971,432
75971,673
75971,568
75971,1
75971,1519
75971,1662
75971,1924
75971,183
75971,3168
75971,1951
75971,798
75971,201
75971,1441
75971,3882
75971,2649
75971,935
75971,414
75971,10
75971,571
75971,663
75971,2615
75971,1252
75971,1166
75971,1016
75971,95
75971,4223
75971,212
75971,1549
75971,1872
75971,3348
75971,2714
75971,557
75971,1329
75971,2034
75971,1990
75971,208
75971,1149
75971,125
75971,1563
75971,502
75971,575
75971,290
75971,1405
75971,2348
75971,1114
75971,2028
75971,153
75971,198
75971,3109
75971,2330
75971,891
75971,344
75971,264
75971,199
75971,1052
75971,1163
75971,1597
75971,1031
75971,173
75971,189
75971,308
75971,221
75971,528
75971,514
75971,503
75971,1238
75971,1940
75971,48
75971,2382
75971,2545
75971,3358
75971,2003
75971,368
75971,804
75971,1765
75971,278
75971,297
75971,1548
75971,151
75971,955
75971,166
75971,2060
75971,23
75971,721
96102,82
96102,17
96102,1
96102,57
96102,279
17258,83
17258,217
17258,418
17258,2264
17258,1279
17258,4047
17258,21
17258,140
17258,4023
17258,323
17258,244
17258,123
17258,572
17258,3736
17258,980
104325,73
74103,84
89455,45
89455,347
89455,242
89455,360
89455,53
89455,131
89455,101
89455,224
89455,279
89455,10
35359,57
35359,0
54642,86
13927,87
13927,929
13927,4026
13927,152
13927,4674
13927,67
13927,203
13927,6000
13927,1371
13927,52
13927,802
13927,2563
13927,386
13927,3190
13927,311
13927,1887
81291,1012
81291,3431
81291,4326
81291,1193
81291,843
81291,549
81291,37
8232,73
72991,2
2634,2
29181,89
29181,221
29181,3716
29181,67
29181,478
29181,1356
29181,2166
29181,157
29181,373
29181,3354
29181,555
29181,323
77144,90
77144,426
77144,907
77144,88
77144,35
77144,497
77144,472
77144,323
77144,766
77144,7
77144,1147
77144,1757
77144,10
77144,71
77144,61
77144,254
77144,255
77144,1623
77144,544
77144,77
77144,4508
77144,25
77144,1540
77144,200
77144,1899
77144,3398
77144,3005
77144,2214
77144,2086
77144,242
77144,832
77144,128
77144,4730
77144,684
77144,4877
77144,420
77144,1016
77144,1249
77144,1148
77144,1282
39711,33
39711,717
39711,700
39711,95
39711,225
39711,86
39711,35
39711,1780
39711,58
39711,5275
39711,2413
39711,1153
39711,549
39711,152
39711,702
9112,91
9112,2266
9112,14
9112,279
9112,42
295,61
295,919
295,35
295,121
102463,92
102463,70
102463,5533
46646,36
46646,73
